1 10
2 11
3 11
4 12
5 12
6 12
7 13
8 13
9 14
10 14
11 14
12 15
13 15
14 17
15 17
16 17
17 18
18 18
19 19
20 19
21 19
22 20
23 20
24 21
25 21
26 21
27 22
28 22
29 23
30 23
31 23
32 24
33 24
34 26
35 26
36 26
37 27
38 27
39 28
40 28
41 28
42 29
43 29
44 30
45 30
46 30
47 31
48 31
49 32
50 32
51 32
52 34
53 34
54 35
55 35
56 35
57 36
58 36
59 37
60 37
61 37
62 38
63 38
64 39
65 39
66 39
67 40
68 40
69 41
70 41
71 41
72 43
73 43
74 44
75 44
76 44
77 45
78 45
79 46
80 46
81 46
82 47
83 47
84 48
85 48
86 48
87 49
88 49
89 51
90 51
91 51
92 52
93 52
94 53
95 53
96 53
97 54
98 54
99 55

